Date,Open,High,Low,Close,Volume,Exchange
2021-07-09,3250.00,3282.00,3201.00,3208.15,6365067,NSE
2021-07-08,3298.00,3298.00,3231.90,3258.50,2485811,NSE
2021-07-07,3275.00,3282.70,3241.60,3274.95,2640710,NSE
2021-07-06,3313.00,3328.00,3256.10,3262.30,2159420,NSE
2021-07-05,3342.00,3374.00,3302.00,3321.00,1972858,NSE
2021-07-02,3331.00,3339.70,3295.20,3325.45,1682274,NSE
2021-07-01,3358.00,3362.00,3332.35,3341.50,990310,NSE
2021-06-30,3346.00,3382.00,3338.50,3345.75,1693146,NSE
2021-06-29,3342.00,3366.30,3326.50,3340.85,1497322,NSE
2021-06-28,3391.50,3391.50,3333.00,3336.75,1355238,NSE
2021-06-25,3375.25,3399.65,3350.00,3380.80,2722861,NSE
2021-06-24,3284.00,3383.00,3278.50,3373.60,4155204,NSE
2021-06-23,3329.00,3329.00,3256.40,3261.40,1467104,NSE
2021-06-22,3304.00,3327.05,3285.00,3301.20,1708688,NSE
2021-06-21,3265.00,3286.00,3251.70,3273.10,1130569,NSE
2021-06-18,3350.90,3358.00,3275.00,3297.30,3380431,NSE
2021-06-17,3265.50,3336.05,3260.00,3317.75,2273413,NSE
2021-06-16,3262.10,3294.70,3253.00,3274.35,1635552,NSE
2021-06-15,3298.00,3298.00,3251.55,3262.75,1304985,NSE
2021-06-14,3279.00,3308.70,3270.35,3276.35,1847360,NSE
2021-06-11,3211.55,3309.00,3211.00,3273.80,3452954,NSE
2021-06-10,3210.00,3224.00,3193.00,3216.80,1874324,NSE
2021-06-09,3202.00,3220.00,3186.20,3200.25,1710925,NSE
2021-06-08,3198.00,3231.00,3187.20,3200.15,2574057,NSE
2021-06-07,3145.00,3190.45,3133.60,3183.20,2559821,NSE
2021-06-04,3128.00,3156.85,3125.00,3143.75,1836060,NSE
2021-06-03,3154.55,3154.55,3122.65,3141.25,1281706,NSE
2021-06-02,3150.85,3159.45,3115.00,3129.45,2240078,NSE
2021-06-01,3168.60,3169.95,3132.00,3153.00,1377441,NSE
2021-05-31,3150.00,3170.35,3128.60,3159.15,1652799,NSE
2021-05-28,3189.50,3198.00,3135.65,3143.60,1763701,NSE
2021-05-27,3161.95,3217.75,3161.80,3180.00,5959785,NSE
2021-05-26,3120.00,3165.00,3103.80,3158.50,1923753,NSE
2021-05-25,3092.00,3128.25,3082.10,3114.00,1841613,NSE
2021-05-24,3081.50,3105.00,3072.00,3081.50,1652260,NSE
2021-05-21,3061.00,3088.20,3055.10,3080.50,1685566,NSE
2021-05-20,3067.10,3088.80,3052.10,3060.00,2329027,NSE
2021-05-19,3084.00,3118.00,3067.10,3082.00,1986041,NSE
2021-05-18,3100.00,3124.00,3078.00,3088.80,2098538,NSE
2021-05-17,3055.00,3075.20,3036.00,3069.75,2890462,NSE
2021-05-14,3098.50,3098.50,3040.00,3051.50,2043935,NSE
2021-05-12,3120.00,3120.00,3070.60,3087.60,1978558,NSE
2021-05-11,3125.00,3128.10,3091.15,3122.60,2415625,NSE
2021-05-10,3145.95,3164.20,3125.00,3145.50,2137153,NSE
2021-05-07,3133.00,3159.85,3111.80,3132.90,1912540,NSE
2021-05-06,3105.50,3134.00,3074.00,3111.45,1791671,NSE
2021-05-05,3070.00,3099.40,3052.40,3095.70,1939289,NSE
2021-05-04,3062.80,3090.00,3035.00,3049.75,1990777,NSE
2021-05-03,3024.90,3055.00,3004.00,3037.00,1545831,NSE
2021-04-30,3099.00,3132.05,3020.00,3035.65,3072305,NSE
2021-04-29,3145.60,3157.35,3105.50,3115.25,1621395,NSE
2021-04-28,3149.95,3151.00,3112.00,3124.10,1639037,NSE
2021-04-27,3106.00,3136.10,3103.00,3132.00,1471417,NSE
2021-04-26,3102.05,3153.00,3088.05,3100.80,2490260,NSE
2021-04-23,3105.00,3119.00,3091.05,3109.50,1615309,NSE
2021-04-22,3148.00,3148.00,3105.25,3118.80,1988980,NSE
2021-04-20,3225.00,3225.35,3126.35,3144.55,3141893,NSE
2021-04-19,3169.00,3189.00,3135.10,3161.80,2679106,NSE
2021-04-16,3229.00,3247.00,3182.60,3195.15,3224657,NSE
2021-04-15,3160.30,3237.25,3087.45,3218.95,6062760,NSE
2021-04-13,3214.00,3214.00,3073.05,3104.05,8654596,NSE
2021-04-12,3322.25,3338.10,3213.20,3246.55,3791828,NSE
2021-04-09,3354.00,3354.35,3308.00,3322.25,2911129,NSE
2021-04-08,3270.00,3335.00,3266.05,3317.35,2578118,NSE
2021-04-07,3259.00,3277.55,3234.80,3271.40,2491268,NSE
2021-04-06,3275.00,3275.00,3230.00,3264.70,2291562,NSE
2021-04-05,3171.00,3263.00,3151.00,3238.90,5317862,NSE
2021-04-01,3191.10,3215.00,3145.00,3165.00,4285076,NSE
2021-03-31,3155.00,3205.00,3132.00,3177.85,3530069,NSE
2021-03-30,3083.00,3188.45,3060.90,3158.55,4694261,NSE
2021-03-26,3090.65,3118.00,3043.05,3066.80,3697370,NSE
2021-03-25,3112.20,3130.85,3050.00,3064.85,3179786,NSE
2021-03-24,3111.20,3152.30,3111.15,3121.10,2207104,NSE
2021-03-23,3140.00,3169.00,3122.85,3142.60,3305973,NSE
2021-03-22,3048.70,3139.45,3018.65,3129.65,2821646,NSE
2021-03-19,3030.00,3099.00,3005.00,3050.20,5776626,NSE
2021-03-18,3125.95,3146.45,2987.05,3036.50,3656306,NSE
2021-03-17,3105.00,3155.00,3085.30,3112.95,3838390,NSE
2021-03-16,3060.00,3141.00,3060.00,3110.05,4894756,NSE
2021-03-15,3041.00,3099.00,3041.00,3066.15,3097140,NSE
2021-03-12,3075.00,3117.00,3041.35,3057.95,2938317,NSE
2021-03-10,3075.00,3093.20,3060.00,3070.95,3053778,NSE
2021-03-09,3006.95,3066.90,2992.10,3050.95,1942397,NSE
2021-03-08,3016.00,3033.00,2996.00,3006.95,2003125,NSE
2021-03-05,3016.10,3063.20,2996.60,3008.05,3203686,NSE
2021-03-04,3023.00,3081.45,3016.05,3049.70,3916760,NSE
